city,year,month,aqi_us
Quetta,2017,8,99
Quetta,2017,9,121
Quetta,2017,10,153
Quetta,2017,11,165
Quetta,2017,12,168
Quetta,2018,1,172
Quetta,2018,2,167
Quetta,2018,3,149
Quetta,2018,4,96
Quetta,2018,5,82
Quetta,2018,6,78
Quetta,2018,7,90
Quetta,2018,8,103
Quetta,2018,9,128
Quetta,2018,10,153
Quetta,2018,11,168
Quetta,2018,12,170
Quetta,2019,1,169
Quetta,2019,2,163
Quetta,2019,3,140
Quetta,2019,4,91
Quetta,2019,5,78
Quetta,2019,6,78
Quetta,2019,7,84
Quetta,2019,8,97
Quetta,2019,9,120
Quetta,2019,10,152
Quetta,2019,11,164
Quetta,2019,12,167
Quetta,2020,1,166
Quetta,2020,2,160
Quetta,2020,3,129
Quetta,2020,4,87
Quetta,2020,5,75
Quetta,2020,6,73
Quetta,2020,7,80
Quetta,2020,8,90
Quetta,2020,9,113
Quetta,2020,10,143
Quetta,2020,11,160
Quetta,2020,12,163
Quetta,2021,1,171
Quetta,2021,2,166
Quetta,2021,3,147
Quetta,2021,4,96
Quetta,2021,5,83
Quetta,2021,6,80
Quetta,2021,7,88
Quetta,2021,8,103
Quetta,2021,9,127
Quetta,2021,10,154
Quetta,2021,11,167
Quetta,2021,12,170
Quetta,2022,1,169
Quetta,2022,2,165
Quetta,2022,3,140
Quetta,2022,4,93
Quetta,2022,5,79
Quetta,2022,6,77
Quetta,2022,7,84
Quetta,2022,8,96
Quetta,2022,9,122
Quetta,2022,10,152
Quetta,2022,11,164
Quetta,2022,12,166
Quetta,2023,1,172
Quetta,2023,2,166
Quetta,2023,3,152
Quetta,2023,4,99
Quetta,2023,5,83
Quetta,2023,6,83
Quetta,2023,7,91
Quetta,2023,8,104
Quetta,2023,9,123
Quetta,2023,10,156
Quetta,2023,11,166
Quetta,2023,12,170
Quetta,2024,1,175
Quetta,2024,2,171
Quetta,2024,3,153
Quetta,2024,4,102
Quetta,2024,5,86
Quetta,2024,6,84
Quetta,2024,7,93
Quetta,2024,8,108
Quetta,2024,9,133
Quetta,2024,10,156
Quetta,2024,11,169
Quetta,2024,12,172
Quetta,2025,1,176
Quetta,2025,2,171
Quetta,2025,3,153
Quetta,2025,4,104
Quetta,2025,5,88
Quetta,2025,6,87
Quetta,2025,7,96
Quetta,2025,8,110
Quetta,2025,9,136
Quetta,2025,10,158
Quetta,2025,11,170
Quetta,2025,12,175
Rawalpindi,2015,1,171
Rawalpindi,2015,2,167
Rawalpindi,2015,3,140
Rawalpindi,2015,4,85
Rawalpindi,2015,5,69
Rawalpindi,2015,6,67
Rawalpindi,2015,7,75
Rawalpindi,2015,8,87
Rawalpindi,2015,9,104
Rawalpindi,2015,10,153
Rawalpindi,2015,11,164
Rawalpindi,2015,12,169
Rawalpindi,2016,1,170
Rawalpindi,2016,2,165
Rawalpindi,2016,3,137
Rawalpindi,2016,4,80
Rawalpindi,2016,5,67
Rawalpindi,2016,6,66
Rawalpindi,2016,7,73
Rawalpindi,2016,8,84
Rawalpindi,2016,9,104
Rawalpindi,2016,10,152
Rawalpindi,2016,11,164
Rawalpindi,2016,12,167
Rawalpindi,2017,1,171
Rawalpindi,2017,2,165
Rawalpindi,2017,3,134
Rawalpindi,2017,4,81
Rawalpindi,2017,5,68
Rawalpindi,2017,6,66
Rawalpindi,2017,7,72
Rawalpindi,2017,8,85
Rawalpindi,2017,9,102
Rawalpindi,2017,10,150
Rawalpindi,2017,11,162
Rawalpindi,2017,12,165
Rawalpindi,2018,1,168
Rawalpindi,2018,2,163
Rawalpindi,2018,3,134
Rawalpindi,2018,4,79
Rawalpindi,2018,5,68
Rawalpindi,2018,6,63
Rawalpindi,2018,7,70
Rawalpindi,2018,8,83
Rawalpindi,2018,9,99
Rawalpindi,2018,10,150
Rawalpindi,2018,11,161
Rawalpindi,2018,12,166
Rawalpindi,2019,1,164
Rawalpindi,2019,2,160
Rawalpindi,2019,3,123
Rawalpindi,2019,4,75
Rawalpindi,2019,5,63
Rawalpindi,2019,6,61
Rawalpindi,2019,7,68
Rawalpindi,2019,8,79
Rawalpindi,2019,9,92
Rawalpindi,2019,10,141
Rawalpindi,2019,11,159
Rawalpindi,2019,12,162
Rawalpindi,2020,1,160
Rawalpindi,2020,2,155
Rawalpindi,2020,3,108
Rawalpindi,2020,4,68
Rawalpindi,2020,5,60
Rawalpindi,2020,6,57
Rawalpindi,2020,7,62
Rawalpindi,2020,8,72
Rawalpindi,2020,9,84
Rawalpindi,2020,10,123
Rawalpindi,2020,11,155
Rawalpindi,2020,12,158
Rawalpindi,2021,1,169
Rawalpindi,2021,2,164
Rawalpindi,2021,3,133
Rawalpindi,2021,4,79
Rawalpindi,2021,5,67
Rawalpindi,2021,6,66
Rawalpindi,2021,7,73
Rawalpindi,2021,8,84
Rawalpindi,2021,9,101
Rawalpindi,2021,10,152
Rawalpindi,2021,11,165
Rawalpindi,2021,12,167
Rawalpindi,2022,1,168
Rawalpindi,2022,2,162
Rawalpindi,2022,3,128
Rawalpindi,2022,4,79
Rawalpindi,2022,5,66
Rawalpindi,2022,6,63
Rawalpindi,2022,7,71
Rawalpindi,2022,8,82
Rawalpindi,2022,9,100
Rawalpindi,2022,10,151
Rawalpindi,2022,11,162
Rawalpindi,2022,12,166
Rawalpindi,2023,1,172
Rawalpindi,2023,2,165
Rawalpindi,2023,3,142
Rawalpindi,2023,4,83
Rawalpindi,2023,5,69
Rawalpindi,2023,6,67
Rawalpindi,2023,7,74
Rawalpindi,2023,8,85
Rawalpindi,2023,9,105
Rawalpindi,2023,10,154
Rawalpindi,2023,11,164
Rawalpindi,2023,12,169
Rawalpindi,2024,1,172
Rawalpindi,2024,2,167
Rawalpindi,2024,3,141
Rawalpindi,2024,4,84
Rawalpindi,2024,5,71
Rawalpindi,2024,6,67
Rawalpindi,2024,7,76
Rawalpindi,2024,8,88
Rawalpindi,2024,9,106
Rawalpindi,2024,10,153
Rawalpindi,2024,11,165
Rawalpindi,2024,12,170
Rawalpindi,2025,1,176
Rawalpindi,2025,2,168
Rawalpindi,2025,3,149
Rawalpindi,2025,4,88
Rawalpindi,2025,5,72
Rawalpindi,2025,6,70
Rawalpindi,2025,7,77
Rawalpindi,2025,8,92
Rawalpindi,2025,9,110
Rawalpindi,2025,10,154
Rawalpindi,2025,11,167
Rawalpindi,2025,12,172
